PLAYER_1,PLAYER_2,GROUP_ID,GROUP_NAME,TEAM_ID,TEAM_ABBREVIATION,MIN,OFF_RATING,DEF_RATING,NET_RATING,PACE,TS_PCT,FTA_RATE,TM_AST_PCT,PCT_FGA_2PT,PCT_FGA_3PT,PCT_PTS_2PT_MR,PCT_PTS_FB,PCT_PTS_FT,PCT_PTS_PAINT,PCT_AST_FGM,PCT_UAST_FGM,OPP_FG3_PCT,OPP_EFG_PCT,OPP_FTA_RATE,OPP_TOV_PCT,SCORING_EDGE_WEIGHT
203210,1629008,-203210-1629008-,J. Green - M. Porter Jr.,1610612743,DEN,27.2,109.3,94.4,14.8,95.13,0.552,0.204,0.5,0.694,0.306,0.203,0.119,0.102,0.441,0.5,0.5,0.222,0.468,0.191,0.148,0.441176471
1630190,1630535,-1630190-1630535-,E. Hughes - G. Brown III,1610612757,POR,140.6,90.7,108.5,-17.8,103.65,0.491,0.225,0.576,0.577,0.423,0.051,0.194,0.168,0.462,0.576,0.424,0.295,0.506,0.446,0.137,0.440967283
200794,1630198,-200794-1630198-,P. Millsap - I. Joe,1610612755,PHI,9.1,111.8,147.4,-35.6,95.12,0.492,0.167,0.571,0.667,0.333,0,0.105,0.158,0.526,0.571,0.429,0.571,0.688,0.375,0.158,0.43956044
1627759,1628436,-1627759-1628436-,J. Brown - L. Kornet,1610612738,BOS,13.7,125.9,107.1,18.8,96.23,0.706,0.333,0.583,0.429,0.571,0.118,0.059,0.147,0.294,0.583,0.417,0.5,0.52,0.2,0.107,0.437956204
202689,1630193,-202689-1630193-,K. Walker - I. Quickley,1610612752,NYK,27.8,66.7,116.1,-49.5,113.22,0.431,0.422,0.529,0.644,0.356,0.087,0.13,0.217,0.565,0.529,0.471,0.435,0.633,0.245,0.177,0.431654676
200765,202334,-200765-202334-,R. Rondo - E. Davis,1610612739,CLE,20.9,90.2,91.3,-1.1,99.96,0.503,0.114,0.688,0.571,0.429,0.216,0.108,0.054,0.486,0.688,0.313,0.313,0.443,0.457,0.152,0.43062201
1629712,1630553,-1629712-1630553-,D. Louzada - K. Johnson,1610612757,POR,58.4,69.7,111.1,-41.4,101.89,0.411,0.08,0.697,0.59,0.41,0.071,0.082,0.082,0.424,0.697,0.303,0.34,0.515,0.545,0.175,0.428082192
201572,1629670,-201572-1629670-,B. Lopez - J. Nwora,1610612749,MIL,25.7,85,118.3,-33.3,112.06,0.429,0.182,0.45,0.655,0.345,0.118,0.059,0.176,0.588,0.45,0.55,0.579,0.587,0.212,0.067,0.428015564
200765,1629650,-200765-1629650-,R. Rondo - M. Brown,1610612739,CLE,16.5,81.1,125,-43.9,106.29,0.508,0.308,0.7,0.577,0.423,0.067,0.033,0.167,0.267,0.7,0.3,0.5,0.589,0.464,0.056,0.424242424
203145,1629117,-203145-1629117-,K. Bazemore - W. Gabriel,1610612747,LAL,23.6,100,97.9,2.1,95.59,0.525,0.282,0.6,0.359,0.641,0.043,0.043,0.174,0.261,0.6,0.4,0.333,0.512,0.171,0.125,0.423728814
203500,1630583,-203500-1630583-,S. Adams - S. Aldama,1610612763,MEM,61.6,112.3,83.2,29.1,101.7,0.537,0.281,0.559,0.661,0.339,0.055,0.158,0.096,0.562,0.559,0.441,0.229,0.435,0.178,0.122,0.422077922
201980,1630194,-201980-1630194-,D. Green - P. Reed,1610612755,PHI,42.7,100,118.2,-18.2,96.06,0.496,0.074,0.576,0.63,0.37,0,0.06,0.072,0.53,0.576,0.424,0.406,0.621,0.3,0.148,0.421545667
1629661,1630994,-1629661-1630994-,C. Johnson - G. Lundberg,1610612756,PHX,9.5,150,100,50,98.7,0.714,0,0.692,0.619,0.381,0.067,0.133,0,0.533,0.692,0.308,0.2,0.5,0.333,0.263,0.421052632
1628418,1630648,-1628418-1630648-,T. Bryant - J. Schakel,1610612764,WAS,12,83.3,80,3.3,98,0.557,0.643,0.333,0.5,0.5,0.3,0,0.35,0.2,0.333,0.667,0.273,0.354,0.125,0.08,0.416666667
202704,203918,-202704-203918-,R. Jackson - R. Hood,1610612746,LAC,4.8,100,110,-10,100,0.644,0.667,0.667,0.667,0.333,0,0,0.3,0.4,0.667,0.333,0.333,0.611,0,0.1,0.416666667
1630168,1630536,-1630168-1630536-,O. Okongwu - S. Cooper,1610612737,ATL,9.7,81.8,90.5,-8.7,106.39,0.507,0.25,0.667,0.438,0.563,0.222,0,0.167,0.111,0.667,0.333,0.375,0.5,0.235,0.19,0.412371134
